Name,Type,Latitude,Longitude
Building,terminal,3.780613,34.740852
Building,terminal,3.780575,34.740927
Building,terminal,3.780478,34.74111
Building,terminal,3.780456,34.740653
Building,terminal,3.780363,34.740804
Building,terminal,3.780209,34.741075
Building,terminal,3.780232,34.741157
Building,terminal,3.780253,34.740369
Building,terminal,3.780182,34.740501
Building,terminal,3.780141,34.740574
Building,terminal,3.780093,34.740653
Building,terminal,3.780045,34.740733
Building,terminal,3.780003,34.740812
Building,terminal,3.779958,34.740883
Building,terminal,3.779861,34.740912
Building,terminal,3.779785,34.740863
Building,terminal,3.779747,34.74078
Building,terminal,3.779789,34.740703
Building,terminal,3.779836,34.740623
Building,terminal,3.779888,34.740548
Building,terminal,3.779934,34.740464
Building,terminal,3.780047,34.740268
Building,terminal,3.780096,34.740193
Building,terminal,3.780139,34.740105
Building,terminal,3.779792,34.740088
Building,terminal,3.77972,34.740207
Building,terminal,3.779663,34.740287
Building,terminal,3.77962,34.74037
Building,terminal,3.779573,34.740445
Building,terminal,3.779522,34.740529
Building,terminal,3.779476,34.740605
Building,terminal,3.779398,34.740653
Building,terminal,3.779266,34.7405
Building,terminal,3.779314,34.740416
Building,terminal,3.779363,34.740343
Building,terminal,3.779404,34.740265
Building,terminal,3.779456,34.740185
Building,terminal,3.779498,34.740103
Building,terminal,3.779575,34.739977
Building,terminal,3.77962,34.739897
Building,terminal,3.779664,34.739818
Building,terminal,3.779271,34.739626
Building,terminal,3.779223,34.739704
Building,terminal,3.779178,34.739785
Building,terminal,3.779076,34.739958
Building,terminal,3.779031,34.740036
Building,terminal,3.778994,34.740107
Building,terminal,3.778929,34.740216
Building,terminal,3.778774,34.740327
Building,terminal,3.778688,34.740273
Building,terminal,3.778679,34.740187
Building,terminal,3.778716,34.740115
Building,terminal,3.778776,34.740013
Building,terminal,3.778827,34.739932
Building,terminal,3.778979,34.739671
Building,terminal,3.779038,34.739572
Building,terminal,3.779081,34.739505
Building,terminal,3.779127,34.739427
Building,terminal,3.778844,34.739334
Building,terminal,3.778794,34.739415
Building,terminal,3.778743,34.739486
Building,terminal,3.778689,34.739077
Building,terminal,3.778645,34.739151
Building,terminal,3.778256,34.739812
Building,terminal,3.778456,34.738852
Building,terminal,3.778409,34.738928
Building,terminal,3.778322,34.739086
Building,terminal,3.77827,34.739165
Building,terminal,3.778283,34.738658
Building,terminal,3.778238,34.738732
Building,terminal,3.778194,34.738804
Building,terminal,3.778156,34.73888
Building,terminal,3.778111,34.738951
Building,terminal,3.778071,34.739041
Building,terminal,3.777959,34.738587
Building,terminal,3.777922,34.738652
Building,terminal,3.777878,34.738721
Building,terminal,3.777844,34.738785
Building,terminal,3.777785,34.738882
Building,terminal,3.777639,34.739139
Building,terminal,3.777957,34.738472
Building,terminal,3.777884,34.738422
Building,terminal,3.777793,34.738484
Building,terminal,3.777749,34.738539
Building,terminal,3.7777,34.738603
Building,terminal,3.777656,34.738661
Building,terminal,3.777584,34.738747
Power Source,source,3.777454,34.738832
